iter	Passed	Remaining
716	34713	62115
717	34751	62048
718	34781	61968
719	34813	61891
720	34855	61831
721	34893	61765
722	34926	61689
723	34966	61626
724	35002	61555
725	35035	61480
726	35075	61417
727	35110	61347
728	35136	61260
729	35173	61192
730	35211	61126
731	35314	61173
732	35357	61115
733	35406	61069
734	35443	61000
735	35488	60947
736	35534	60894
737	35574	60832
738	35611	60766
739	35658	60715
740	35697	60651
741	35731	60579
742	35766	60509
743	35800	60437
744	35836	60369
745	35876	60307
746	35907	60229
747	35948	60171
748	35998	60125
749	36028	60048
750	36055	59963
751	36085	59886
752	36120	59816
753	36167	59767
754	36199	59693
755	36233	59622
756	36264	59546
757	36294	59469
758	36336	59411
759	36371	59342
760	36413	59284
761	36448	59216
762	36488	59156
763	36527	59093
764	36561	59023
765	36594	58952
766	36636	58895
767	36676	58834
768	36713	58770
769	36754	58711
770	36788	58642
771	36824	58575
772	36863	58514
773	36906	58458
774	36935	58382
775	36980	58330
776	37016	58264
777	37054	58201
778	37117	58178
779	37163	58127
780	37203	58067
781	37234	57993
782	37280	57944
783	37317	57880
784	37358	57823
785	37389	57749
786	37412	57663
787	37443	57591
788	37483	57531
789	37521	57469
790	37556	57402
791	37593	57339
792	37635	57283
793	37663	57206
794	37698	57140
795	37737	57079
796	37777	57021
797	37810	56952
798	37829	56862
799	37864	56797
800	37897	56727
801	37934	56665
802	37972	56604
803	38015	56550
804	38045	56478
805	38088	56423
806	38126	56363
807	38168	56308
808	38210	56253
809	38249	56194
810	38287	56133
811	38328	56076
812	38369	56020
813	38403	55954
814	38437	55887
815	38471	55820
816	38508	55759
817	38545	55697
818	38575	55625
819	38608	55559
820	38646	55497
821	38668	55415
822	38707	55357
823	38742	55293
824	38769	55216
825	38804	55153
826	38845	55097
827	38881	55034
828	38921	54978
829	38952	54908
830	38975	54827
831	39014	54769
832	39044	54699
833	39085	54645
834	39121	54583
835	39161	54526
836	39199	54467
837	39245	54418
838	39288	54367
839	39338	54325
840	39375	54264
841	39417	54210
842	39453	54148
843	39491	54090
844	39528	54029
845	39570	53976
846	39608	53918
847	39642	53853
848	39683	53799
849	39712	53728
850	39745	53664
851	39778	53597
852	39819	53543
853	39861	53491
854	39898	53430
855	39932	53367
856	39971	53310
857	40001	53242
858	40042	53188
859	40080	53130
860	40120	53074
861	40153	53009
862	40185	52944
863	40222	52885
864	40261	52828
865	40309	52784
866	40344	52722
867	40383	52665
868	40420	52606
869	40458	52549
870	40499	52496
871	40538	52440
872	40572	52377
873	40616	52327
874	40654	52270
875	40695	52215
876	40729	52153
877	40771	52102
878	40810	52046
879	40836	51973
880	40873	51914
881	40915	51862
882	40948	51800
883	40981	51737
884	41022	51683
885	41057	51622
886	41097	51568
887	41137	51514
888	41175	51458
889	41209	51396
890	41242	51333
891	41272	51266
892	41310	51210
893	41352	51158
894	41381	51090
895	41421	51036
896	41461	50983
897	41498	50925
898	41535	50868
899	41575	50814
900	41615	50760
901	41647	50697
902	41691	50648
903	41734	50598
904	41771	50541
905	41807	50483
906	41852	50435
907	41894	50384
908	41933	50328
909	41965	50266
910	42006	50214
911	42042	50155
912	42081	50101
913	42124	50051
914	42168	50002
915	42205	49946
916	42248	49896
917	42288	49843
918	42323	49784
919	42361	49728
920	42400	49674
921	42439	49620
922	42484	49573
923	42512	49506
924	42552	49453
925	42588	49395
926	42628	49342
927	42667	49288
928	42706	49234
929	42739	49173
930	42777	49117
931	42818	49066
932	42855	49010
933	42973	49047
934	43019	49000
935	43060	48948
936	43105	48901
937	43141	48844
938	43180	48791
939	43228	48746
940	43275	48702
941	43313	48647
942	43352	48593
943	43395	48544
944	43446	48503
945	43483	48448
946	43528	48401
947	43557	48335
948	43598	48284
949	43638	48232
950	43675	48176
951	43716	48124
952	43753	48069
953	43791	48014
954	43822	47952
955	43852	47889
956	43899	47844
957	43940	47793
958	43984	47745
959	44018	47686
960	44055	47630
961	44095	47578
962	44140	47532
963	44180	47480
964	44217	47424
965	44256	47372
966	44298	47321
967	44333	47265
968	44369	47207
969	44406	47153
970	44449	47104
971	44484	47046
972	44519	46989
973	44554	46933
974	44596	46883
975	44622	46816
976	44666	46769
977	44703	46714
978	44759	46680
979	44802	46630
980	44841	46578
981	44875	46520
982	44912	46465
983	44953	46415
984	44991	46361
985	45032	46311
986	45073	46260
987	45113	46209
988	45155	46159
989	45203	46117
990	45239	46061
991	45283	46013
992	45324	45963
993	45363	45911
994	45400	45856
995	45435	45799
996	45469	45742
997	45506	45688
998	45538	45629
999	45579	45579
1000	45622	45531
1001	45663	45481
1002	45707	45433
1003	45738	45374
1004	45781	45326
1005	45820	45273
1006	45869	45231
1007	45912	45183
1008	45966	45146
1009	46014	45103
1010	46058	45056
1011	46101	45008
1012	46149	44965
1013	46192	44916
1014	46245	44878
1015	46285	44827
1016	46318	44770
1017	46356	44717
1018	46397	44667
1019	46432	44611
1020	46470	44558
1021	46511	44509
1022	46541	44448
1023	46572	44389
1024	46610	44336
1025	46648	44283
1026	46679	44224
1027	46713	44168
1028	46751	44116
1029	46787	44062
1030	46823	44007
1031	46865	43959
1032	46914	43916
1033	46959	43870
1034	47007	43827
1035	47052	43782
1036	47093	43733
1037	47140	43688
1038	47187	43644
1039	47218	43586
1040	47259	43537
1041	47305	43492
1042	47353	43449
1043	47395	43400
1044	47435	43349
1045	47475	43300
1046	47513	43248
1047	47553	43197
1048	47589	43143
1049	47625	43090
1050	47661	43035
1051	47696	42981
1052	47732	42927
1053	47776	42880
1054	47816	42830
1055	47855	42779
1056	47890	42725
1057	47929	42674
1058	47965	42621
1059	48008	42573
1060	48048	42523
1061	48087	42473
1062	48115	42412
1063	48150	42357
1064	48195	42312
1065	48233	42261
1066	48276	42213
1067	48315	42163
1068	48357	42114
1069	48392	42060
1070	48429	42008
1071	48466	41956
1072	48508	41908
1073	48551	41860
